Title,ReviewText,UserID,Date,Brand,Product,CelebrityBranded
Not Impressed,"I had high expectations for this, but honestly it’s exactly like the NYX butter gloss just $15 more. I ended up returning the ones I ordered and I plan on ordering a different brand. If you want a cheaper alternative, I’d recommend the NYX butter gloss in shade ‘Spiked Toffee’",Camrynll,21 Jul 2024,RareBeauty,Lip,Yes
,"This product is amazing. I have purchased it numerous times. It is the perfect gloss, no stickiness at all and provides that hydration on the lips long after the gloss finish has gone. 10/10 would recommend.",Cece123c,19 Jul 2024,RareBeauty,Lip,Yes
yum,i love this product. its so good i would eat it for breakfast lunch and dinner.,usuck111,19 Jul 2024,RareBeauty,Lip,Yes
Amazing!! 🤩,"I loved this product. It's lightweight and smooth on lips. I had it in shade 'nearly rose', very natural and fresh tint. The gloss stays for long without any sticky feeling to it. It makes my lips feel hydrated. Such and amazinf go to balm.",DrPorsh,18 Jul 2024,RareBeauty,Lip,Yes
I love it!!,"This product is so moisturizing and not only does it last a good amount of time on me, it also leaves my lips moisturized for most of the day even when the gloss and the color is pretty much faded. I prefer this over the summer Fridays balm because this doesn’t get as sticky as the summer Fridays. Also, I got vanilla beige in the summer Fridays balm and nearly neutral in the glossy balm and they are almost the exact same color on me! If your trying to decide which one to get, get this one!!",KatelynK08,8 Jul 2024,RareBeauty,Lip,Yes
Love using it after lip liner and lipstick.,I like this product a lot. Will say it’s way better than the lip oil and packs serious pigment so I’d pare it with a lip liner or lipstick. I like that it feels hydrating and doesn’t have a gross taste nor smell. I do prefer this over the lip oil and will say it’s with your money over the lip oil.,amadine,7 Jul 2024,RareBeauty,Lip,Yes
Nearly berry,Don’t get me wrong I like this product but was definitely disappointed when I got the nearly berry online expecting more of a wine color and it comes in basically purple. If they corrected this I’d definitely give it 5 stars for sure!,Noelle4755,6 Jul 2024,RareBeauty,Lip,Yes
,This product gives a great gloss like finish without being sticky or stringy. It nourishes my lips and lasts a few hours as long as I don’t eat or drink anything.,rani2002,1 Jul 2024,RareBeauty,Lip,Yes
Must have!!,"My second repurchase, i love it so much. It is really hydrating and lasts on the lips for a good time, very subtle colour for everyday use!!",lvlinbrar,23 Jun 2024,RareBeauty,Lip,Yes
Favorite Lip Balm Forevermore,"I never understood the term ""cushion"" in regards to how lips feel when properly hydrated and balmed up, but that was the first word that came to my mind when trying this on and I immediately ran back to the store for another shade! I wore this so often I created an empty more quickly than any other product and my lips didn't feel or look right without it to me- this product is a part of me now! My lips are some of the crustiest, most dry things on the planet and this balm is sufficient in hydrating them and adding some lovely color to them.
In complete seriousness and realness.
I was and am always scared of the uncomfortability of makeup and how it makes me look and feel, but this is such an effortless and chic addition to my day to day looks whether I'm adding it to my work outfit or going out with friends. I've gotten so many compliments about looking refreshed and healthy with more nude shades (for me) like muave and compliments about looking pretty and colorful with the berry, which beautifully compliments highlighters and fun eye looks.
It's my personal holy grail product for lips and I adore it and the word favorite is overused, because I cannot emphasize enough how comfortable and beautiful this balm is!",RBSkinandMakeup,23 Jun 2024,RareBeauty,Lip,Yes
Subtle and beautiful,I love the formula with this product. It is not sticky and feels truly glossy. I have bought it as a gift for friends and family and use it almost daily. I use another brand of lip liner with it to make it more dramatic. I love the color “Nearly Neutral “,,19 Jun 2024,RareBeauty,Lip,Yes
Great; But Not For Me,"The color is pretty, but it’s practically my lip color. I did end up changing the color with my own lip pigments. The overall consistency was great; not sticky at all. It’s great; but not for me. 4/10",Katiiiieee,16 Jun 2024,RareBeauty,Lip,Yes
Subtle non sticky gloss,Beautiful non sticky lip gloss!! I find this perfect for days when I want just a bit of colour on my lips!!,izuwudles,12 Jun 2024,RareBeauty,Lip,Yes
So Good!!!!!,I LOVE this product. It is so buttery and glossy. It’s good for everyday use as well as overtop lipstick. Definitely would repurchase!!,kaleiahdave,10 Jun 2024,RareBeauty,Lip,Yes
,Sticky and dries out your lips :( I love the packaging though,mahwee,9 Jun 2024,RareBeauty,Lip,Yes
Silky & Shiny,"This is a go too lip treatment.  Very nice color of pink, but not too pink, silky, glossy and not drying. I’m loving this product from Rare and will buy again. It’s my go too in my bag.",CJinAZ,7 Jun 2024,RareBeauty,Lip,Yes
,"The lipgloss is so buttery and nice!! if u accidentally licked it, doesn’t taste like anything really and the colors are really beautiful too!!-",daisyshin18,5 Jun 2024,RareBeauty,Lip,Yes
,I used this product multiple times before I returned it and I loved the color but it always dried my lips out.,CrazyMakeLady,4 Jun 2024,RareBeauty,Lip,Yes
Its alright,"It’s a nice lip balm and adds a natural shine and a  hint of color. Its super comfortable on the lips. It doesnt last a long long time, and it can get goopy if you apply too much. I dont regret buying this but I dont think I would repurchase just cause its basically an overpriced lip balm.",JennaLi,3 Jun 2024,RareBeauty,Lip,Yes
,"I’ve bought this gloss in a couple of colors and love it. Not gooey at all, feels great on and hydrating though not super long lasting. The only reason I give it four stars is that I would’ve preferred just a little more tint. Barely noticeable. I have two different colors and I can’t even tell the difference when I wear them.",KaritinaDi,2 Jun 2024,RareBeauty,Lip,Yes
,"So beautiful, I love the formula, not sticky at all. My only complaint is the scent, it smells like metal! I get over it though cause it’s just to good.",Avabant,27 May 2024,RareBeauty,Lip,Yes
,"Gorgeous, cushion-like feel on the lips. Not sticky! Please make more colors!",jazzyamd,23 May 2024,RareBeauty,Lip,Yes
The BEST lipgloss!,This lipgloss is BUTTERY soft and I don’t find it sticky at all! The color is soft and not to overwhelming but perfect to go over a lip stain!,ellsbellss,23 May 2024,RareBeauty,Lip,Yes
Must have for my work pocket!!,I have never loved a lip product so much as this one. It is really hydrating and it has good lasting power. Very pretty shade and i will buy it again for sure!!,lvlinbrar,21 May 2024,RareBeauty,Lip,Yes
,Literally fits my lip color perfectly and it feels great too.,JDog27,14 May 2024,RareBeauty,Lip,Yes
Disappointing,"Felt very nice on the lips, however…I was expecting a deeper color like what’s shown on the box. A nice berry color- it was in fact not berry, it was mauve. It also looked streaky",Elliecarras,13 May 2024,RareBeauty,Lip,Yes
Good product :),"I love this product, however I wish it can stay on longer. This product is so pretty on but only last 5-10 minutes. I love the shade on my skin tone. Overall good product and DOES NOT LEAK.  recommend this",Emily29859,8 May 2024,RareBeauty,Lip,Yes
On my second tube!,"I almost never use up a lip product, but I'm already on my second tube.  Feels great going on, lasts a long time, doesn't require lip liner (a problem as I've gotten older) and is a really nice natural lip tone",Vanngirl,7 May 2024,RareBeauty,Lip,Yes
A perfect lip gloss,"Hydrating, moisturizing, non-sticky, feels like an in-between of a balm and gloss.  Perfect pop of color. 5 star product hands down",Duchess0415,6 May 2024,RareBeauty,Lip,Yes
Most comfortable lip blam/gloss,Looks like a gorgeous gloss on your lips but feel like a hydrating balm!! My absolute fav I’m running low and definitely repurchasing. I want to try a different shade but love this one too much! Pretty with brown lip liner,nancyoli,5 May 2024,RareBeauty,Lip,Yes
,I've had this lip balm for over a year and I love it so much! The color is amazing too. It eaves a subtle glossy look.,ValHugues,1 May 2024,RareBeauty,Lip,Yes
,"I bought this product a few days ago, and I’m obsessed with it. First off the packaging and design is awesome! Easy and user friendly for everyone! But the product itself is even better. A little goes a long way. It has a nice shimmer to it and feels great on my lips. Very hydrating! Love this!!",Leelee13TTPD,27 Apr 2024,RareBeauty,Lip,Yes
A must have for a pretty lip,Formula is soo good I love this product! Such a pretty shade! I love wearing this daily! The packaging is so cute! I love the brand rare beauty and I would recommend to everyone,A238585,26 Apr 2024,RareBeauty,Lip,Yes
It’s must have in my routine.,After using this product from past 2 years. I like its texture and buttery feeling. After its application my lips felt smooth whole day. I always keep it in my bag.,Hajrahnavid,26 Apr 2024,RareBeauty,Lip,Yes
Really nice!,"First off: I love how this is genuinely a balmy texture, not like a gloss at all, like a thicker lip balm. the color isn't fully shown in the camera but it's a very natural pinky coral, perfect for everyday. As well it's surprisingly long lasting, lasting up to two hours full shine. Then gradually fading.",Kezit4e2,23 Apr 2024,RareBeauty,Lip,Yes
,"My new favorite lip gloss! So hydrating and it lasts for hours! Product lasts awhile too, I have had mine for about 6 months and it’s just starting to run out.",Kalyn09,19 Apr 2024,RareBeauty,Lip,Yes
Love,Love. Plan to get more colors. Feels cushy and nourishing.,xlr8bree,16 Apr 2024,RareBeauty,Lip,Yes
On My Fourth Tube!,"Finally, a gloss that actually makes your lips feel moisturized.  I am purchasing my fourth tube and I have never repeatedly purchased another lip gloss this many times.  The Nearly Neutral is my go to lip gloss.  It provides a very soft level of color, to punch it up I use a Rare Beauty lip liner all over my lips underneath the gloss.  I have two of the other shades as well.  Selena, please never discontinue this!",Suzel,14 Apr 2024,RareBeauty,Lip,Yes
Love this!!!,I love this glossy lip balm! It feels comfortable and hydrating. And the color is beautiful. I got the shade Nearly Berry. Gonna repurchase for sure.,bernee,11 Apr 2024,RareBeauty,Lip,Yes
A must-have,"I got this as part of the holiday lip kit Sephora had but this was by far my favorite product in it. The color is perfect and I love the application. It feels super hydrating and the tint makes it look more like a gloss but feels way less sticky. If you’re on the fence, get it. You won’t regret it.",AH21,10 Apr 2024,RareBeauty,Lip,Yes
awsome,I absolutely love these little lippies. the only thing I don't like is it comes off easily. but they are sooo pretty and moisturizing. I order nearly neutral and nearly berry both were amazing the colors are spot on and gorgerous.,Danjelle,9 Apr 2024,RareBeauty,Lip,Yes
Perfect amount of shine,Love these glosses. Does not dry out my lips like everything else does. Also have the shade Nearly Rose.,kmatts16,9 Apr 2024,RareBeauty,Lip,Yes
A new favorite!,Very pretty and moisturizing.  The nearly neutral looks just like my natural lip color.  Not too sticky with just the right shine.  Will buy this one again!,Cinbu,8 Apr 2024,RareBeauty,Lip,Yes
,love this so muchhhh!!!!! i will definitely repurchase this over and over again!,abrilochoa,7 Apr 2024,RareBeauty,Lip,Yes
Really good and must have,"Love, it leaves a sheer tint and is so hydrating love so much and leaves great tint",mairobecude,7 Apr 2024,RareBeauty,Lip,Yes
,This adds a small wash of color it is not sticky to me and is hydrating as well. Keep this in my car at all times do recommend to try it out!,cprado12,6 Apr 2024,RareBeauty,Lip,Yes
Must have in my routine!!,"After using this product, I literally love this product! I have two toned lips and this product makes them gorgeous. Super hydrating, Best consistency, Beautiful colour, and Application is super easy. Would definitely recommend anyone trying to find a berry colour.",nessx,5 Apr 2024,RareBeauty,Lip,Yes
,This is a great lip product and I would have given it five stars but the color is just way too cool of a pink to be flattering on anyone neutral or warm. Wish there was a more universal or warm shade of this pink! Feels like a combo between a lip oil and lip gloss.,AshleyLynn92,5 Apr 2024,RareBeauty,Lip,Yes
Best Product On This App,"Genuinely one of the most underrated products on this website. This is hands down the best lip balm I’ve ever tried. It also works perfectly as a gloss, as I genuinely thought it was a lip gloss before I read the packaging and realized it was a lip balm, oops. The CREAMIEST most soft, delicate formula ever. Not sticky at all",applepz9,5 Apr 2024,RareBeauty,Lip,Yes
Love it!,Love it! It’s so smooth and it’s pretty long lasting. The packaging and applicator are also awesome. Would definitely recommend. It looks great on your lips and I loved the shade nearly apricot.,faithk06,4 Apr 2024,RareBeauty,Lip,Yes
💓🌸,packaging is so aesthetic and this makes my lips look amazing and leaves them hydrated 10/10,madyrae2009,4 Apr 2024,RareBeauty,Lip,Yes
Beautiful and not sticky💕💕,Wow!! Very pleased with this purchase ;) very beautiful gloss but not sticky at all!! Love the color too! I have fare/medium tan skin.,KatarinaHorne,2 Apr 2024,RareBeauty,Lip,Yes
,I love both the texture and color of this product! It is nice and shiny but not sticky at all like some balms can be. The berry color looks flattering on my cooler toned skin as well.,daydrmer02,23 Mar 2024,RareBeauty,Lip,Yes
current favorite!,"i have sooo many lip products but this is one of the best! the color is beautiful, it’s not sticky and it has a great shine! 100% would buy again",morgannn34,23 Mar 2024,RareBeauty,Lip,Yes
Love it,Love this! It is not super pigmented and it doesn’t last super long on your lips but I don’t even care because it’s so comfortable to wear.,AE27,19 Mar 2024,RareBeauty,Lip,Yes
Perfect gloss IMO - lightweight w/ subtle pigment,"Originally, I had purchased the shades neutral and mauve and became so obsessed that I bought the apricot and berry shades as well. Texture is light and not too sticky (less sticky than Summer Fridays Lip Butter Balm). Pigment is subtle and sheer which I prefer since I hate when pigment settles in the creases of your lips. Also love the applicator shape - point allows you to get precise and the sides allow you to fill in. Highly recommend!",changstein,19 Mar 2024,RareBeauty,Lip,Yes
underrated rare beauty product,"super underrated! i love it, and it lasts for a long time, it doesnt leave any color/tint but it has a really nice texture and it feels really hidrating",ariasevedo,18 Mar 2024,RareBeauty,Lip,Yes
,Honestly it smears so you always have to smooth it out but once you do it looks amazing,StellaGlitch,7 Mar 2024,RareBeauty,Lip,Yes
i use daily,this product is a must have/buy best $20 on a lip gloss ever,aver1e,5 Mar 2024,RareBeauty,Lip,Yes
Great Colour,"Love the colour, and the applicator. Can be sticky sometimes. It also dry out really fast at times, gotta put lip-bum on top to make less sticky and glossier.",meiqin08,4 Mar 2024,RareBeauty,Lip,Yes
,The best! Not sticky or heavy feeling. It’s the perfect hydration and soft natural looking color! I’m obsessed. I totally recommend!,CynnP,29 Feb 2024,RareBeauty,Lip,Yes
Great gloss,"Hydrating, shiny, doesn’t feel sticky at all. Add the perfect amount of color.",Sasha8181,29 Feb 2024,RareBeauty,Lip,Yes
Perfect gloss,"This is my ride or die lip gloss! I love how long it stays on and the shine it gives me. It’s a tad sticky on my lips which I’m not a fan of, but it’s still something I’d repurchase.",jennlynn0519,28 Feb 2024,RareBeauty,Lip,Yes
