Title,UserID,ReviewText,Date,Brand,Product,CelebrityBranded
,maddiegecko,"It smells like candied cherry in the best way you can imagine, non sticky smooth shiny look for the lips!",1 Dec 2024,Fenty Beauty,Lip,Yes
"EATS, BUT SO TINYYYY",Joonieeee,"Okay I love this lip oil, but not for the price. It’s so small and honestly lasted me for a month. Wish it was in a bigger bottle",30 Nov 2024,Fenty Beauty,Lip,Yes
Must have product,summerinaa,this product is absolutely amazing the dragon fruit one adds a little pink tint. It also smells delicious and it has a great formula and applicator.,29 Nov 2024,Fenty Beauty,Lip,Yes
Obsessed,chichi1121,"I am obsessed with Fenty lip oils. It lasts so long, and feels so good in the lips",28 Nov 2024,Fenty Beauty,Lip,Yes
Pretty good 🍒,lov3lylivi3,"I bought this a while ago, and it was one of the first lip oils that I have tried. I fell in love with the cherry scent and the shine from the lip oil. I've heard that a lot of people's packaging has wiped off or broken, but mine has been fine. (has gone through rough traveling) Although I like this lip oil, one con is that this cherry flavored lip oil doesn't have much pigment. (might just be this one)This lip oil also doesn't really nourish or soften my lips as it says it would.",27 Nov 2024,Fenty Beauty,Lip,Yes
A must 💜,jenifer1221,"I put this gloss on my lips everyday during school and it makes my lips so smooth and the color is so pretty, it’s a must need for your bag or purse",27 Nov 2024,Fenty Beauty,Lip,Yes
,,Smells amazing. Long lasting. Moisturizing.Non sticky,21 Nov 2024,Fenty Beauty,Lip,Yes
,Dlovesrareb,Smells really nice and it has a great texture to it.,19 Nov 2024,Fenty Beauty,Lip,Yes
,senoritagabs,I love this lip oil but for some reason this flavor/color was awful. Idk what it was but it just felt super grainy. Bought this lip oil in other flavors/colors and no issues whatsoever,14 Nov 2024,Fenty Beauty,Lip,Yes
I can’t believe it!,speerrituall1,"This taste like ole skool cherry cough drops. Not in a good way. Also, it’s thick and gooey.",13 Nov 2024,Fenty Beauty,Lip,Yes
,,I used this for about a week and I noticed that it actually moisturized my lips and kept them I nice glossy color. This is perfect if you are looking for something minimal and cute.,12 Nov 2024,Fenty Beauty,Lip,Yes
,catalinaaxo,"Honestly a must have for me, it actually hydrates my lips and makes them look plump and juicy and great for my skin tone. Repurchssed!",12 Nov 2024,Fenty Beauty,Lip,Yes
,Desiree5,Soft and wide applicator. Texture is more sticky rather than a straight oil. But I still like it.,12 Nov 2024,Fenty Beauty,Lip,Yes
,maryslife,This product is amazing very hydrating to but it runs out extremely fast and for the price you can find a better and bigger one!,11 Nov 2024,Fenty Beauty,Lip,Yes
I’m not mad at it…,mistressminx,"I bought this on a whim because I was looking for a lip oil that wouldn’t break the bank. It’s okay. For as much as it costs it could and should be better - I find I reapply it multiple times in an hour or I have to put a lot on at once. I don’t find it sticky, and the scent is light which I appreciate, but I don’t think I’d purchase again. I know this might be blasphemy, but I’m not impressed with the entire Fenty line, and most purple like me who are makeup obsessed truly and know what we’re doing, don’t really care for it either. I appreciate the shade and product ranges, but apart from that, eh.",9 Nov 2024,Fenty Beauty,Lip,Yes
,jaylend,Glossy? Yes. Sticky? No. Hydrating? Not really. Price? Not horrible. This is my second time purchasing this and each time the cap cracks then eventually breaks and I’m not able to use all the product.,8 Nov 2024,Fenty Beauty,Lip,Yes
Changed formula?,kaybo1991,"I used to buy the cherry treat lip oil all the time, just recently it’s less oil consistency and a lot more sticky and goopy like. I’m not sure if the formula changed or what or if I got a “bad batch” but this is NOT IT. I won’t be purchasing again.",8 Nov 2024,Fenty Beauty,Lip,Yes
Doesn't last long,maddyricecake,"I was actually disappointed by this honestly, I love the Fenty gloss bombs but this kinda missed the mark. It doesn't last very long at all and doesn't have any tint to it like I thought it would. It does smell like cherry, but not necessarily on the lips only from the bottle. I also don't find it sticky when it's on the lips like some people said. But... my Elf lip oil lasts way longer! For much cheaper.",6 Nov 2024,Fenty Beauty,Lip,Yes
,pinklover123,,5 Nov 2024,Fenty Beauty,Lip,Yes
,Toonchie,"Didn’t work for me, too sticky, I won’t be buying it again.",31 Oct 2024,Fenty Beauty,Lip,Yes
Must Have,Mssarahjo,"I love this lip oil! I have replaced all other chapsticks and lip glosses with this lip oil as an everyday staple, and my lips couldn’t be happier. I have tried the Barbados Cherry, Passion Fruit and Melon and I love them all.",30 Oct 2024,Fenty Beauty,Lip,Yes
"Love it, but packaging broke :(",didisamon502,I love the product! It’s very hydrating and the gloss looks really nice. However the top broke off and it’s very impractical.,25 Oct 2024,Fenty Beauty,Lip,Yes
,ThePOP,"I’ve actually bought this twice now as I used up the initial bottle which I feel rarely happens with me.  Definitely enjoy this more than I was expecting.  It goes on easily and smoothly with the applicator.  It isn’t too sticky or runny, stays on just right.  The smell is great too and leaves my lips in better condition especially when used regularly.  isn’t",24 Oct 2024,Fenty Beauty,Lip,Yes
a major let down,butterflymel48,wanted it to work but it does nothing but make my lips peel yet skin still hanging on so had to rip the rest of it off my lips now bleeding and soar .....i'm fair skin not any visible issues with lips yet..not sure why it's so sticky either..i see no reasons for it to help...i do like the smell ..lov her but they dropped the ball on this one,24 Oct 2024,Fenty Beauty,Lip,Yes
,crackedoutmummy,I love the product itself. It smells so good and also leaves my lips very soft but the packaging is cheap. The cap broke and split down the middle so i have to be careful when opening and closing it. I recommend if the cheap packaging doesnt bug you,22 Oct 2024,Fenty Beauty,Lip,Yes
Muah 💋,channiie,"Remember Mac’s lip glass, and it was so shiny but disgustingly sticky. This you get ALL THE SHINE, and ZERO sticking, just hydrated lips. Runs out quickly",22 Oct 2024,Fenty Beauty,Lip,Yes
"Great product, needs better packaging",absknisin,"This is the only lip oil that doesn’t leave me with that white line after a couple hours.  It is very hydrating, not super sticky and gives my lips a nice gloss. Took off 1 star because the packaging isn’t the best. The cap starts to crack after a while.",18 Oct 2024,Fenty Beauty,Lip,Yes
Skip this one.,queenkrissy,"I so wanted this to be great, however, it was sloppy/drippy, as a result quickly came off my lips. The bottle leaked and got over my purse.",17 Oct 2024,Fenty Beauty,Lip,Yes
Useless,infinitefire,It was half empty when I opened the box. It wore off very quickly. Then It dried out my lips; not hyrating at all. The fragrance was nice at first but after a while it was too sweet / cheap “childish” smelling. Useless,13 Oct 2024,Fenty Beauty,Lip,Yes
Hives,LaLaChanel,"Left a review for the cherry lip mask also, both cherry versions broke me out in hives and gave me an allergic reaction. Only the cherry versions of these products do this. And no I’m not allergic to cherries. Threw both out.",5 Oct 2024,Fenty Beauty,Lip,Yes
,KellzNJ,"I love this lip oil in black cherry. With a moody lip liner, it’s great for fall.",1 Oct 2024,Fenty Beauty,Lip,Yes
Feels so nice!,beautyblonde88,"I prefer this to summer Friday lip oil. Fenty is a thicker viscosity, feels plush on the lips and hydrating like a liquid balm, not sticky either like MAC lipgloss for comparison. Not sure why the negative reviews, don’t over tighten the top and it won’t crack.",28 Sep 2024,Fenty Beauty,Lip,Yes
Nice,serenity56111,"It’s very hydrating but it’s very small
But it’s a good lip oil but the size isn’t worth the price .",27 Sep 2024,Fenty Beauty,Lip,Yes
Icky,queenlyricc,"Save your money and just go to claires and buy a cherry lip gloss. It has a sticky formula and gets stuck in my hair, its overly thick and not at all nourishing or hydrating, it also has about 5 minutes until another reapply",25 Sep 2024,Fenty Beauty,Lip,Yes
A Must Have,aysiaco,"I LOVE! It’s become my go-to lip oil/lip gloss alternative. I put it over my lipsticks and where it alone. It’s hydrating, super glossy and comfortable. Also, the applicator is so soft!",25 Sep 2024,Fenty Beauty,Lip,Yes
Super Hydrating and Glossy,Kassie2224,"The Fenty Beauty Lip Conditioner Oil is fantastic! It provides deep hydration, leaving my lips soft and smooth without feeling sticky. The lightweight formula absorbs quickly and adds a beautiful shine. It’s perfect for everyday use or as a base under lipstick. Definitely recommend if you’re looking for a moisturizing lip oil!",22 Sep 2024,Fenty Beauty,Lip,Yes
Lips,Gabyandrade,Feels like plush on your lips plus a bit glossy!! Keeps my lips hydrated for a few hours,22 Sep 2024,Fenty Beauty,Lip,Yes
Idk maybe it’s just me,thelifeofperri,"After using thus for a few days, it made my lips peel soooooooooo bad. At first I was like “maybe my lips are super dry rn” but no. I stopped using it for like 3 days and I promise you my lips were back to normal. Gace",20 Sep 2024,Fenty Beauty,Lip,Yes
Favourite lip oil,misscryss,"Love this lip oil so much! It’s not sticky, it looks great on and it smells great too. I am a lip product addict, I buy and use an insane amount of balms, oils, glosses and hybrids and this is at the top of the list. I’m about halfway done my bottle and I’ll definitely get a new colour next time to try!",19 Sep 2024,Fenty Beauty,Lip,Yes
Love !,brookeyb,"My new favorite go to lip 
Love the slight tint and the feel is luxurious without being sticky",19 Sep 2024,Fenty Beauty,Lip,Yes
Mango Sunny-D in a Tube,megbaby,"Feels similar in consistency to the Inn Beauty lip glaze - a thicker, gloss-like lip oil. I prefer this consistency in lip oils as it prevents greasiness and increases longevity. I don’t find that this moisturizes my lips as much as I would like. However, a lot of lip oils on the market have disappointed me in a similar fashion. I really just use this as a gloss rather than rely on it as a treatment. 

When I tried Dragonfruit in-store, it looked a bit neon. At home and in natural lighting, it looks like a very sheer pink tint. Even though it’s a screaming hot coral pink in the tube, it’s very wearable if you keep it at one layer. 

The scent is my favorite feature about this - Dragonfruit in particular smells exactly like the mango Sunny-D if anyone else remembers this from childhood. It smells like a juicy tangerine with a candy/synthetic mango mixed in. Definitely very tart and sweet! If you’re looking for a fruity scented lippy and are sick of vanilla/creamy ones, this would be a good pick.",11 Sep 2024,Fenty Beauty,Lip,Yes
Half full,Cuteness0331,Although the lip oil is very nice it’s not worthy the price.  I received it just over a week and a half and it’s empty!! I don’t even use it daily.  Very disappointing Sephora I wouldn’t buy it again,10 Sep 2024,Fenty Beauty,Lip,Yes
Great product but over priced,daniellemas,Love the color and texture of this lip oil and looks natural on me but it is thicker than other lip oils and runs out quick. For the price it doesn’t last very long,8 Sep 2024,Fenty Beauty,Lip,Yes
Very plump lips,joeplaysroblox,After using for not even a day I’m  in love with this product!!!! It make my lips so plump and perfect,7 Sep 2024,Fenty Beauty,Lip,Yes
"Love, love, love",Jody1990,So moisturizing! Put it on at night and my lips are supple in the morning.,3 Sep 2024,Fenty Beauty,Lip,Yes
,Rigglett,I wanted to love it so bad but I just found myself reapplying way too often and just never felt like it was hydrating or sinking in,3 Sep 2024,Fenty Beauty,Lip,Yes
Good smell,Maude811,"I like it, but I generally have dry lips and I thought this would help me keep them hydrated... I still have to use my medicated lip balm and when they are less dry, the oil has lip allows me to keep them like this but not to repair them. I just looooveee the smell !",3 Sep 2024,Fenty Beauty,Lip,Yes
Best Lip Product I've Used!,galgirl342,I absolutely adore this lip oil! It feels so luxurious and smooth on my lips and keeps them hydrated for so long! It smells and tastes super good too. This is a staple Fenty product!,1 Sep 2024,Fenty Beauty,Lip,Yes
"Nice lip oil, but product leaks from tube",Ashjac,"The actual lip oil was nice, but after a few uses product started leaking from the tube no matter how many times I cleaned it. Ruined inside my purse! Wouldn't recommend due to poor packaging.",1 Sep 2024,Fenty Beauty,Lip,Yes
Will not stay in my routine.,lynette44,After using. I’m more impressed with cheaper ones on the market.  It’s not the best but I will not repurchase.,28 Aug 2024,Fenty Beauty,Lip,Yes
Smells fantastic and hydrates!,KPEEZY23,This product is so amazing! It smells like a cherry candy and not obnoxiously scented like medicine. It also doesn't taste like anything. The one thing I can not stand in a lip product is it tasting like something like it being sweet. This lip oil doesn't taste bad either if it accidentally gets in your mouth. It smells great and hydrates so well. I always keep it in my pocket. It doesn't spill and that's amazing. So many lip oils and glosses spill in the packaging so I can't bring along with me in a bag or in my pocket. This has great packing too. It looks adorable and the applicator is amazing! It is a large doe foot applicator that is not extremely hard to get out the package. It does not take a lot of force to open this bottle. So if you have any wrist or arm injuries it is nice.,25 Aug 2024,Fenty Beauty,Lip,Yes
Randomly Leaks and Cannot Use Anymore,angelemma3,"I initially loved this product. It is super hydrating and the applicator feels really nice. The smell is great too and it doesn’t make your lips sticky. But about a month or two after I bought it, it randomly started leaky and got all over my purse. I thought it had a crack or I left it open but after I cleaned it up, it continued to leak out of nowhere. I took it out of my purse and put it on my desk and this is what it did overnight. I’m incredibly disappointed as there was a lot of product left and this was not cheap. I wouldn’t recommend buying it because I’ve heard this happens a lot with this item.",24 Aug 2024,Fenty Beauty,Lip,Yes
Best lip oil ever,CherryLover235,Absolutely love this lip oil I use this at night like an over night lip mask and wake up the next day with moisturized lips will buy again,22 Aug 2024,Fenty Beauty,Lip,Yes
So hydrating,jeeleeanmarie,"I tried so many lip oils and all I can say this is my favorite so far. It does last a long time, i have to reapply like I do with my other lip products. I love it",21 Aug 2024,Fenty Beauty,Lip,Yes
A must-have,sammyssss,It’s so hydrating and I love the scent and color of this! Must have one of my new fav lipglosses💕,20 Aug 2024,Fenty Beauty,Lip,Yes
So Yummy!!!!,starbucksGirly,I LOVE this!! It smells soooo good!!! The scents I recommend are cherry and dragon fruit. Both smell sooo good!!,19 Aug 2024,Fenty Beauty,Lip,Yes
So Hydrating!,gretabrooks,"I love this lip oil so much, I got it in Kalahari Melon, too. It’s so hydrating and stays on for hours. Feels extremely nourishing and my lips are healed! The big doe foot applicator is also a plus",18 Aug 2024,Fenty Beauty,Lip,Yes
,mdf1603,So nice and smells amazing. Great color- natural but pinky,18 Aug 2024,Fenty Beauty,Lip,Yes
MUST HAVE!!!,Rubybooo,I LOVE this lip oil it’s the only lip oil that actually hydrates and leaves my lips feeling soft 10/10 recommend!!!,17 Aug 2024,Fenty Beauty,Lip,Yes
Must have in my routine!!,EmilyPrentice,"My lips were so hydrated after using this! Will buy again, 10/10",17 Aug 2024,Fenty Beauty,Lip,Yes
Beware/Gave me a bad allergic reaction,Gmoe21,"Right after using this product I got a terrible sore throat, I couldn’t even swallow or drink anything and was miserable. I went to my doc and they had no clue what was going on, tests came back negative and it wasn’t until I came to the reviews of this product and found someone else left a review with my same experience. Obviously we are all allergic to different things but this was a first for me, I’ve never had an allergic reaction to any beauty product so I’m not sure what’s going on with this gloss. It’s a bummer because I loved it but not at the cost of my health.",17 Aug 2024,Fenty Beauty,Lip,Yes
Super hydrating!,kazaransky29,Smelt in store and is the small smell as Starbucks dragonfruit refresher. I’m assuming it has the same hydration as the og cherry one!,15 Aug 2024,Fenty Beauty,Lip,Yes
,Melita23,"This is a nice lip oil.I haven't tried one before so there may be better products on the market. I have noticed an improvement since using this and the lip mask. I have a habit of picking at my lips, and this has helped. The bottle has lasted over a year for me. 
It is a bit sticky - not in the sense of your lips sticking together, but that your hair will get stuck in it. 
The packaging really needs improvement. The lid cracked early on while sitting on a shelf. I also really struggle to open it. Even if I loosely close it, when I go to open it again, it's so stuck shut that I can't always open it. It somehow seals itself insanely tight. Unless they fixed the packaging, I can't see someone non able bodied being able to use this. I even struggle with a towel for extra grip strength. If you put on hand  cream, absolutely forget it. It ain't happening. 
If you're deciding between Fenty's oil and mask, the mask is much nicer in my opinion and easier to open.",13 Aug 2024,Fenty Beauty,Lip,Yes
favorite lip oil out of so many,olivia73926,"i have like a millionnn lip products and this one has to be one of my favorites. the applicator is sooo soft and it hugs your lips. the smell of this lip oil is amazing, not artificial at all. i need the new dragonfruit one. DEF buy if your looking for a good new lip oil.",13 Aug 2024,Fenty Beauty,Lip,Yes
My favorite lip product,urcinnamongirll,I wear the fenty treatz lip oil every morning and sometimes during the day. It keeps my lips so moisturized and soft. The product isn’t sticky and the applicator is sooo soft. I especially LOVE the scent. It smells just like gummy bears.,12 Aug 2024,Fenty Beauty,Lip,Yes
Must HAVE !!!!!,TheeBombshell,"Literally my everyday go to . No need for multiple applications one glide will last a awhile ,",10 Aug 2024,Fenty Beauty,Lip,Yes
A must have!!!!!,bivia,"I first got the cherry lip oil in a dup with the lip mask & was so shocked at how much i loved it, i had to get it in every shade & scent. It applies so smoothly, is not sticky at all & lasts for soooo long. I use them every single day & will definitely repurchase whenever i run out!",10 Aug 2024,Fenty Beauty,Lip,Yes
will repurchase,uwlj,"nice and hydrating, not sticky at all; smells a bit like cherry medicine",9 Aug 2024,Fenty Beauty,Lip,Yes
beautiful!!!,shawnal312,smells delicious and looks natural and beautiful! i work in a restaurant and it lasts 3-4 hours before i have to reapply!! its still an oil so its not that thick but it stays on your lips and makes them feel  soft,9 Aug 2024,Fenty Beauty,Lip,Yes
nice!,cynthiat8,"this a simple but good product! it’s pretty heavy which is why i took off a star but other than that, it does hydrate my lips! the scent is strong very fruity, could be toned down but oh well lol. the color payoff is sheer but still cute and the packaging is nice as well! i haven’t had any problems with the formula or packaging!",7 Aug 2024,Fenty Beauty,Lip,Yes
"Great smell, texture, look",AnnaLee95,I don’t buy tons of lip products but I was specifically looking for ones that I don’t have to touch my finger with to apply (avoiding germs). Love fenty in general so wanted to give it a try. The texture is smooth and not too sticky,6 Aug 2024,Fenty Beauty,Lip,Yes
,Scole15,"Loved this lip oil! Great smell and consistency I like when my lips look extra glossy, would give it 5 stars if it wasn’t so pricey <\3",5 Aug 2024,Fenty Beauty,Lip,Yes
nice everyday lip oil,itsheraaa,"great lip oil, i love the packaging and applicator. it can leak a bit but not to bed. i like the formula of the lip oil, its decently hydrating and i like the smell. great product but nothing to special!",5 Aug 2024,Fenty Beauty,Lip,Yes
Love it,C3anna,I love this it tastes and smells really good. It makes my lips so shiny and soft. I’d get it again,5 Aug 2024,Fenty Beauty,Lip,Yes
Will repurchase,newyou83,Loving it will definitely purchase again and have recommended it already.,5 Aug 2024,Fenty Beauty,Lip,Yes
,KJamesT,"I absolutely love this product! it goes on so easily and is so glossy! Again, I absolutely love this product and would buy it again in a heartbeat!",4 Aug 2024,Fenty Beauty,Lip,Yes
"Good product, bad packaging.",Tassixo,"I was so in love with the lip oil. It doesn't smell bad, it applies well. It doesn't last too long for me, but that was my only complaint not worth noting. That was until the cap starting cracking. After about a week of use (applying maybe once or twice a day) the top just broke off. I couldn't open the product again and it feels like a waste. Came to the app to see if others had the same problem and I was sort of relieved it wasn't just me, but disappointed that the cap is that weak. Would love it if this was fixed and now it's just a lost cause unless I DIY it! Wouldn't recommend for that reason since I feel robbed of 24 dollars. :)",3 Aug 2024,Fenty Beauty,Lip,Yes
,dannip0022,"I am obsessed with this lip oil. Super natural color, it feels really good on the lips and leaves them hydrated",2 Aug 2024,Fenty Beauty,Lip,Yes
"NEW FAV, MS RIRI DID THATTTT",yofavevelyn,"honestly so hydrating, my lips were giving sáhara desert & ever since i started using this product they’re so hydrated and giving juicyyy!!! def would repurchase",1 Aug 2024,Fenty Beauty,Lip,Yes
Highly recommend,Jaimie96795,If you are looking for an oil that feels hydrating and gives that beautiful full lip. This is the one. I don’t normally like any type of lip gloss. This I have been wearing everyday.,31 Jul 2024,Fenty Beauty,Lip,Yes
Nice Addition to my Lip Oil Lineup,Lohen17,Really nice scent and I don't personally find the oil to be too sticky. Melon is not my go-to scent but I really love the shade so I took a chance on this and was pleasantly surprised overall.,30 Jul 2024,Fenty Beauty,Lip,Yes
Must have when your feel dry at the lips,mandypooh2222,"Love all of Fentys cherry scented anything lol , very hydrating not to runny !",30 Jul 2024,Fenty Beauty,Lip,Yes
I love this!,Anjanai,"I love this product so much it's not sticky and it hydrates but the only thing is that the ""shades"" look the exact same thing on my skin tone. Just more pigmentation!",29 Jul 2024,Fenty Beauty,Lip,Yes
I wanted to love it!,michellesarits,"I loved this product at first, my lips were feeling great. After 2 weeks of constant use my lips are dryer then they have ever been. I am a lip gloss at least 3x a day user and I’m so disappointed about

 this product’",29 Jul 2024,Fenty Beauty,Lip,Yes
,LoRo45612,Love this! Very hydrating - great add to the routine,28 Jul 2024,Fenty Beauty,Lip,Yes
,DanielleJhaye,"I think I might be mildly allergic to this lip oil, so I will be returning, but I did somewhat enjoy it. I moved to a state that leaves my skin super dry so I'm always looking for hydrating products. While this looks and feels amazing when first applied, I found myself having to constantly reapply it. I wore it to the gym, grocery shopping, sitting at work, and no matter what, it seemed like the wear time was maybe 20-30 minutes and it was back to feeling a bit dry. I don't expect the gloss look to last of course, but my lips just didn't feel very moisturized. I may just be someone that needs a thicker consistency, but this one is a pass for me.",27 Jul 2024,Fenty Beauty,Lip,Yes
