Title,Date,ReviewText,UserID,Brand,Product,CelebrityBranded
,29 Jan 2025,This HUDA BEAUTY Faux Filler Shiny Non-Sticky Lip Gloss is an easy to apply and non sticky lip satin. I love the beautiful glossy finish and nice color. Definitely a nice lip gloss by Huda beauty. Highly recommended.,YuzuNagai,Huda Beauty,Lip,No
,29 Jan 2025,This HUDA BEAUTY Faux Filler Shiny Non-Sticky Lip Gloss is a nice glossy finish lip gloss. It is easy to apply and not sticky. I love the beautiful color which is perfect for daily use. I would recommend this product.,xixi1234,Huda Beauty,Lip,No
,29 Jan 2025,"I loved trying out this new huda lip gloss! It definitely made my lips appear fuller and plump. The formula is great and not overly sticky. Love the color, its a very nice pale pink. The applicator is great as well. Love huda products!",michelleaurora,Huda Beauty,Lip,No
,29 Jan 2025,"I’m not big on wearing lip glosses that feel heavy and everything sticks to them, I can’t deal so I tend to look for lightweight glosses. Was very excited to try this new one from huda beauty, she never disappoints. This gloss leaves me with juicy looking lips yet hydrating and comfortable to have on all day.",KiaraKG,Huda Beauty,Lip,No
I love this gloss,29 Jan 2025,"I recently tried the UBE - FAUX FILLER GLOSS by Huda Beauty, and I'm in love with it! The gloss gives my lips a full, plump look without feeling sticky. The shine is gorgeous, and it lasts for hours. Plus, it's super hydrating, which is a huge plus. Definitely a must-have in my makeup collection!",bigkey,Huda Beauty,Lip,No
,29 Jan 2025,"this is a pretty lip gloss. the color is a nice light pink. the formula is glossy. it stays for a fair amount of time. the formula is nice, not sticky. you get a decent amount of product in one tube so i think it’s a good value.",123cat31,Huda Beauty,Lip,No
,29 Jan 2025,"Gloss is a staple for me and I love the clear version of this one! I think this adds a nice hint of pink when worn alone and can amp up or transform a lipstick or lip liner. I love the wand it has, as well!",Sandrapants,Huda Beauty,Lip,No
Fantastic!,29 Jan 2025,"This gloss is my new favourite. Love the colour, shine and looks great alone or over other lip products.",sless,Huda Beauty,Lip,No
Not for me,29 Jan 2025,I really dislike this lipgloss. I’m my opinion it is so sticky and settles into the worst places. The color looks patchy and it looks like a mess. I love the packaging and I think the shade is so cute but this just does not work for me at all.,kwolffie,Huda Beauty,Lip,No
My new go to!,29 Jan 2025,"The Huda Beauty Ube Lip Gloss is an impressive addition to any beauty collection. Its sleek, iridescent packaging adds a touch of elegance, making it a standout product. Upon opening, the subtle scent is pleasant without being overpowering. Application is a breeze, with smooth buttery consistency that glides on like a dream, without any of that dreaded stickiness. It provides long-lasting hydration, keeping lips soft and comfortable throughout the day. The unique lilac shade offers a stunning metallic finish, making it perfect for both everyday wear and special occasions. Overall, this lip gloss combines high-quality packaging, a pleasant scent, a comfortable and hydrating formula, and a beautiful finish, making it a must-have for anyone looking to elevate their makeup routine.",blaytaylor4,Huda Beauty,Lip,No
The perfect gloss,29 Jan 2025,I cant even begin to tell you how good this lip gloss is. It's not tacky but thick enough to stay on your lips. It makes my lips so shiny and so much more hydrated than I ever imagined. I love wearing this during the winter because not only does it look great but it keeps my lips hydrated during the harsh weather!,PreciousGuide,Huda Beauty,Lip,No
Love love love,29 Jan 2025,"Honestly as always Huda doesn’t miss. This gloss is spectacular! It’s hydrating, makes your lips look fuller and smells amazing. The smell reminds me of something in my childhood. This gloss looks well on its own as well as in top of another lip product. Best of all it’s not sticky.",didi9099,Huda Beauty,Lip,No
Very nice!,29 Jan 2025,Love the shade of gloss! The gloss is nice and shiny without being sticky. It gives a nice pigmentation without being too much. Definitely a good shade to use a darker lip liner with. I would recommend this product!,andimarrs,Huda Beauty,Lip,No
Love how hydrating it is,29 Jan 2025,This Huda Faux Filler is quite nice. This is a sheer color that makes your lips feel moisturized. I love that it contains vitamin E. My lips feel plump and glossy after applying this. I also really like the actual bottle and application brush.,tanyeah,Huda Beauty,Lip,No
A must have in your purse,29 Jan 2025,I am love with the Huda Beauty Faux Filler! It really does plump up my lips without feeling too sticky and it stays on a long time even after eating or drinking! My only caveat would be is that I would probably get a color a bit darker next time but other than that I am in love. I received something in exchange for this post.,ShomaA,Huda Beauty,Lip,No
I love it,29 Jan 2025,The packaging is beautiful the color I love it the applicator is perfect for the application grabs the right amount to put the gloss on my lips they feel more hydrated blurs the lines making them look juicier and filled the best it is not sticky that helps the hair not to be sticking if it goes to the face it lasts a long time on the lips without a doubt I love these gloss my favorites forever without a doubt I want all the colors it looks beautiful and good ingredients without a doubt the best,sonisalced,Huda Beauty,Lip,No
,29 Jan 2025,I was underwhelmed with this lip filler as I really did not see the effects which I had hoped as well as the formula felt very uncomfortable on my lips as it was very thick. Once removed from my lips they felt dry. It’s a great concept but did not deliver results for me.,HelloGirls,Huda Beauty,Lip,No
Glosssyy,29 Jan 2025,This lip gloss is amazing! It is very light on the lips and does not feel heavy or sticky. It makes my lips look very plump and lasts a long time! I absolutely love the applicator. This is my new go-to gloss!,Kerragan,Huda Beauty,Lip,No
,29 Jan 2025,"This gloss is sooo shiny!! It feels super smooth and hydrating, giving my lips a plump, full look without any weird tingling. The formula isn’t sticky at all and leaves a glass-like finish that’s comfy to wear all day. If you want glossy, juicy lips that stand out, this is the perfect pick!",cierrarascon,Huda Beauty,Lip,No
,29 Jan 2025,"I was hoping this gloss would have more pigment but it’s quite sheer. I think since it was launched as part of the collection, it would’ve been nice to have the same pigment as the blush and powder to really create a cohesive look. The gloss is ok but not what I anticipated.",Bshree19,Huda Beauty,Lip,No
Great lip product!,29 Jan 2025,Obsessed!! I love this product!!! I am already a huge fan of Huda products and this is no exception! Makes my lips look so nice and hydrated. As I am aging I see more lines in my lips and I found that this kind of masks some of the lines. This color is super subtle and more of just a gloss with a tiny hint of pink. I would love to try a different color!,kimfeaman,Huda Beauty,Lip,No
Amazing Gloss,29 Jan 2025,This gloss is absolutely amazing! First off the formula is super hydrating and long lasting while giving the perfect flush of color. The Ube color is a gorgeous lilac-pink and compliments any skintone. The whole collection is amazing and I highly recommend this gloss!,kproth99,Huda Beauty,Lip,No
Beautiful!!,29 Jan 2025,This gloss is so beautiful! Very pretty milky pink color I’ve been looking for! It pairs really well with a lip liner and gives the glossiest lips which I love! Doesn’t feel sticky at all either! Definitely recommend!!,jackayyyy101,Huda Beauty,Lip,No
Great product,29 Jan 2025,"This lip gloss is pretty great. It has a good consistency which makes it not sticky but not too thin either. It does have a bit of a smell to it, but I don’t think it’s a bad smell. Overall, this lip gloss is perfect to use on its own to hydrate your lips or even on top of lip liner or lipstick!",parneetttt,Huda Beauty,Lip,No
SO CUTE,29 Jan 2025,The lipgloss is so cute! It’s the perfect shade of pink. I love how it’s buildable for a little deeper color. Pairing this with a nude lip liner brings up the vibe or wearing it alone with a natural face also eats! It’s thick and creamy love it.,jazzydabrat,Huda Beauty,Lip,No
very good,29 Jan 2025,It is a very nice gloss to use. It does not have much color but it gives a very nice shine to the lip and using it with other lipsticks or tints is perfect. It is almost transparent and lasts a long time on the lips. I love it.,AabiJimru,Huda Beauty,Lip,No
Soft natural pink,29 Jan 2025,The Huda glosses are super hydrating and I always love the glossy shine from them! I usually do not like pink shades with my skin tone but this was the softest light pink that honestly looked super natural on me! Definitely glad I got this shade.,niiyskee,Huda Beauty,Lip,No
Super cute.,29 Jan 2025,Gorg. Love the lipgloss so much. I used it with a brown lip liner and I loved the look. It looks super shiny and it feels so nice on the lips. It stays on for about an hour or two and it’s not super sticky or super thick. I love it. I like the packaging but I hate the font. Not a super huge issue.,MrsKilljoy963,Huda Beauty,Lip,No
,29 Jan 2025,"Great product!!! Very pretty shade, non sticky lipgloss. Definitely going to be my daily must have. Packaging is pretty and convenient. Highly recommend to try this, especially this shade! Absolutely perfect",Patip13,Huda Beauty,Lip,No
,29 Jan 2025,I’m already a huge fan of huda beauty but I’ve never tried the lipglosses before and I’ve always been a lip girly! Why didn’t I try this before!! I’m obsessed it’s hydrating and non sticky! The shade uuu baby looks a little scary but I promise it comes out beautiful with or without anything under !,miszmarylou,Huda Beauty,Lip,No
Top notch gloss,29 Jan 2025,"I was gifted this product from Huda Beauty. The faux filler gloss is GLOSSY. Straight up shine and mega watt gloss. It does seem to fill in my fine lines and offers some plump. It does feel sticky at first, but that’s what happens if you want super gloss. I am enjoying this gloss and want to try some of the other shades. Highly recommend and my new fave glosss.",Gwenmarina98,Huda Beauty,Lip,No
,29 Jan 2025,"The Huda Beauty UUU Baby Faux Filler Gloss is a new favorite! It gives my lips a smooth, plump look with a gorgeous glossy finish. The color is unique yet wearable, and it’s not sticky at all. Perfect for everyday or layering over lipstick.",PBandMeli,Huda Beauty,Lip,No
Pretty,29 Jan 2025,"The shade & the way this gloss makes your lips feel is beautiful! It’s hydrating, non sticky, & plumps, I really need all the shades of this gloss. A  pretty rosy lip liner with the Faux Filler Lip Gloss would be perfection!",Tater02,Huda Beauty,Lip,No
Returning,29 Jan 2025,"After reading the reviews I decided to get it, looking for a peachy nude gloss. I love the doe foot applicator but the smell and flavor isn’t pleasant at all. I’ll be returning",rhjsgirl,Huda Beauty,Lip,No
,29 Jan 2025,This lip oil is my favorite on the market. The gloss is beautiful and there is no tingling sensation. Great value for money - I use it almost everyday! The color is beautiful too. Not too sticky and moisturizing.,BubbleBee696,Huda Beauty,Lip,No
Stunning!,29 Jan 2025,"This new Ube gloss is just stunning! The color is absolutely gorgeous, a light pinkish-lilac that adds the perfect pop of color to your lips! I love the texture and consistency, it's not sticky and doesn't feel heavy on my lips, it doesn't crease or dry out and it's actually quite hydrating! My favorite formula and probably my new favorite lip gloss color!",Sheezyxo,Huda Beauty,Lip,No
Not sticky,29 Jan 2025,I really like this Huda faux filler lip gloss. It’s not sticky at all. It leaves my lips feeling plump and hydrated and looking glossy. It offers just a hint of color. The scent is light and nice as well.,kirbykat87,Huda Beauty,Lip,No
Nice!,29 Jan 2025,"Ube Faux Gloss is beautiful and not sticky. I do have dry lips since I haven’t took care of my lips recently. This worked well on my lips and appears to make my lips lively. On my skin tone, it adds a little color.  I haven’t tried this over lipstick yet but I plan to over the weekend! I received this product in exchange for my review. The only thing I would like to see more is a terracotta and orange shades.",DarlingSnow,Huda Beauty,Lip,No
So pretty 😍,29 Jan 2025,I love the color of this lip product! It’s like my lips but better with the subtle pink hue. It makes them nice and juicy and it lasts a while cause it’s thicker. My lips look fuller and keep a shine. They feel hydrated and plump without stickiness.,kayannxo,Huda Beauty,Lip,No
Cute baby pink gloss,29 Jan 2025,"I am a fair skinned, girly with quite mauvey lips, and sometimes I want something to lighten them just a bit, without looking like a mask. This color of the faux filler gloss is perfect! I enjoy the applicator shape for more precise application. I love the color and consistency. And the component is adorable. This is my second gloss from HUDA and I would purchase more!",Pkduvall,Huda Beauty,Lip,No
A must have,29 Jan 2025,"I got the new ""Faux Filler Gloss"" in the shade Electric lilac. I really love this lip gloss. Firstly the packaging is so cute. I love the applicator, it makes it so easy to apply with precision. The color is a very subtle sheer lilac with a light pink tint. The formula itself is amazing. My lips feel hydrated and look smoother and more plump without the stickiness. It's not greasy and lasts as expected with a gloss. I paired it with my huda beauty muted pink lip liner "" chef's kiss"". I highly recommend this product and will be trying more colors.",momreviews,Huda Beauty,Lip,No
,28 Jan 2025,These huda glosses are absolutely divine this lilac one shows up pinky on my light medium skin tone and I love it so much! It’s plumping doesn’t sit much in the lines and makes your lips look so juicy,Ritouche,Huda Beauty,Lip,No
Glossy,28 Jan 2025,I love this extra shiny lipgloss. Makes my lips look so good and plump. Feels good on the lips and hydrating and doesn't feel sticky. You get the plumping effects without the tingle. has such a pretty pink violet shade that makes lips look more glossy but naturally fuller.,AshleyM1988,Huda Beauty,Lip,No
Love the color and consistency of this gloss.,28 Jan 2025,"I love this lipgloss. The consistency is smooth and not sticky at all. The color comes off like a subtle pink and is really pretty. I make sure to have my lips moisturized before to get the best results but besides that, the Huda Beauty Faux gloss is one of the best glosses I’ve ever worn.",MartiniqueB,Huda Beauty,Lip,No
So good!!,28 Jan 2025,I want this in every color! I love the formula and pigment. It’s very comfortable and not sticky. This purple color is especially perfect to add to the center to finish off a lip look. She knocked it out of the park again l,cookiequinn,Huda Beauty,Lip,No
Super shine,28 Jan 2025,"I was completely delighted with the Extra Shine Lip Gloss Faux Filler by Huda Beauty. At first, it seemed like a very pink shade with a more youthful vibe, but when I tried it, I was pleasantly surprised. It provided all the hydration and, especially, the shine that my lips needed. I used it in two ways: first, applied on its own, and I loved its extra glossy effect. Then, I tried it over my favorite matte lipstick, and it was the best decision since it gave me a much more glamorous look. This lip gloss glides on smoothly, lasts for hours, keeps my lips soft and hydrated with just one application, and leaves them with a sweet, delicious scent.  Without a doubt, I recommend it.",Hyun2,Huda Beauty,Lip,No
Super hydrating!,28 Jan 2025,I am obsessed with this gloss. It’s a new fave for me. I am NOT a pink loving girly and shade uuu-baby is the perfect pink. I love that the gloss is not sticky. It glides on like butter. The sheen is super pretty and shiny. I would definitely recommend this product to a friend.,samanthawaggone,Huda Beauty,Lip,No
Hydrating And High-Shine Formula,28 Jan 2025,"I am in love with this Faux Filler Gloss!  It has a very hydrating formula that makes my lips feel very nourished and moisturized.  It gives me fuller lips without any tingling or burning, is non-sticky, and has a high-gloss ‘reflective’ finish.  With Vitamin E and Vegan Collagen, my lips are soft, smooth and comforted.  The big doe foot applicator has a precision tip for outlining and makes this gloss apply effortlessly.  I have the color ‘UUU Baby’ which is an electric lilac, the perfect flattering shade.  This is a great product and one I highly recommend.",DoryD89,Huda Beauty,Lip,No
,28 Jan 2025,"Love this gloss! I’m super picky about my lip prducts; I pretty much only like Fenty Gloss Bomb so that says a lot! It doesn’t tingle or burn and I don’t see much of a plumping effect, but I love the consistency (thick enough but not sticky at all!) The color’s also stunning, subtle but noticeable. Would buy other colors!",katiemariellex,Huda Beauty,Lip,No
Extra Shine,28 Jan 2025,"Huda Beauty does it again! I can always rely on this brand to deliver top-notch products. This lip gloss does exactly what is described. It comes in a beautiful tube that is easy to use. The product goes on effortlessly. It is soft and plush feeling on my lips. It gives my lips extra shine with the prettiest pink tint. It lasted for a good duration. I don't typically love lip gloss, but this one is an exception!",oliviarichelle,Huda Beauty,Lip,No
,28 Jan 2025,I love the consistency and the shade does not look ashy on me. I paired it with a nice brown lip liner and it really came together. I love the formula as well it’s creamy and light without being too sticky.,jennipoppi,Huda Beauty,Lip,No
Not my favorite,28 Jan 2025,"I really am not a fan of the color of the UUU-baby but the product itself feels nice on the lips. Not really any smell to it. If I had gotten a different color, I’d probably like it more but this shade doesn’t nothing for me.",mrsredrum,Huda Beauty,Lip,No
,28 Jan 2025,I don’t usually wear lipgloss on my lips because of the sticky feelings it leaves but this is not sticky at all. It goes on light and smooth and does not feel heavy on the lips. The color/shade is absolutely beautiful!,drawer7556,Huda Beauty,Lip,No
,28 Jan 2025,"The shade is a stunning, soft lavender hue with subtle cool undertones, making it a unique yet wearable color for all skin tones. It adds a fun twist to your everyday look while still being versatile enough to pair with bold or neutral makeup. The formula is where the gloss truly shines—literally and figuratively. It’s lightweight yet cushiony, leaving lips feeling hydrated and plump without any sticky residue.",hvnniez,Huda Beauty,Lip,No
Great Nourishing Gloss,28 Jan 2025,"I really enjoy this gloss so much! It feels like a light oil rather than a gloss which I prefer because I dont like my lips being sticky.  The color is pretty, but too light for me to use on my natural lips as it glazes on my lips and makes them look lighter. I did use it over lipstick and it was beautiful so this shade works better on darker colors than light.",dakki,Huda Beauty,Lip,No
Beautiful,28 Jan 2025,I absolutely love this gloss. Not only is the color perfect but the formula is fabulous! It’s not sticky or drying. It feels smooth and ultra hydrating. The color is beautiful and it smells great too.,chelleypistols,Huda Beauty,Lip,No
So good,28 Jan 2025,I’m a huge fan of most things Huda and this Faux Filler Gloss is no exception. It has the cutest pink tint but is mostly clear and gives a hint of color to the lips. I was surprised at how moisturizing it is. It makes your lips feel wonderful. The staying power is good and it even smells like the cake icing lipgloss from smackers back in the 90s. (One of my faves) Really enjoying this product!,calliemama,Huda Beauty,Lip,No
So hydrating,28 Jan 2025,"This lip gloss is incredible! The color is gorgeous, and it feels so hydrating on the lips. It’s not drying at all and leaves my lips looking fuller and juicy while staying super comfortable to wear. I definitely recommend buying this!!",scolach,Huda Beauty,Lip,No
,28 Jan 2025,This gloss is my current favourite. I like the smell so much. It gives a beautiful shine and stays for a long time. Its gives hydrating lips feel and lips look so much fuller. I love this shade and want to buy more,Bhalotiya,Huda Beauty,Lip,No
2 stars because of the formula but not a fan,28 Jan 2025,"So normally I love every one of Huda’s products (with some exceptions), this is one of them. Ube is a purple sweet potato so when you give a lipgloss the name Ube, I better see purple. Unfortunately this was like a run of the mill pink lipgloss. I’m so disappointed, I like the feel of this lipgloss line but as a brown woman I was excited for a purple lipgloss that looked purple in the bottle and out of the bottle. Please reformulate this product.",kchandwani21,Huda Beauty,Lip,No
Truly Magic!,28 Jan 2025,"WOW! This has been my go-to lipgloss for the past week and I’ve received many compliments on the look. It’s such a subtle color, and looks great on. My lips look so juicy and full. It’s truly magic. It blurs out unwanted lines and really makes my lips look and feel amazing! I love how this product doesn’t leave me with a tingling, burning sensation but still gets the job done. I only have positive feedback for this product and absolutely blown away at its potential. Huda, great job on this product. 10/10 would definitely recommend!",Arpalcher,Huda Beauty,Lip,No
Moisturizing,28 Jan 2025,I really like this lipgloss. The color is a nice light sheer pink. The lipgloss is moisturizing and not sticky. It keeps my lips soft for an awhile so I’m happy with this lip product by Huda. I would recommend,Avru9829,Huda Beauty,Lip,No
Just the pop of gloss you need!,28 Jan 2025,I was really impressed by this lip gloss! It’s the first one I’ve ever owned that doesn’t dry my lips out after use. The color is natural with a hint of pink and so it gives just a tiny pop to my barely there type makeup I wear. It definitely has a glossy finish. Packaging is cute too!,greatskingal,Huda Beauty,Lip,No
Super glossy,27 Jan 2025,"New faux filler gloss - Ube (Electric lilac with subtle hues of pink) is such a beautiful gloss. I love the lilac hues and a super shiny formula that plumps the lips without the burning sensation. Unfortunately, it is slightly sticky and you will feel it. My favorite part about this gloss it’s how shiny it is!",Ausra90,Huda Beauty,Lip,No
,27 Jan 2025,"The applicator is unique! It's my first time trying out this type of applicator for a lipgloss. I'm a fan! It makes it so easy and precise! Now, let's talk about the glossiness. It's so glossy and definitely hydrating to the lips. It's not as sticky, which I love! There is a slight scent to it, which some people will find a con, but I don't love/hate it. I would definitely want to try the other shades!",000giselle000,Huda Beauty,Lip,No
Classy,27 Jan 2025,"The HUDA BEAUTY Faux Filler Shiny Non-Sticky Lip Gloss is perfect for no-makeup makeup days. Its subtle pink hue looks natural, the non-sticky formula feels light, and the glossy finish adds a radiant touch.",elaineypena,Huda Beauty,Lip,No
,27 Jan 2025,"I love this!  The colour is gorgeous.  it lasts for a decent amount of time. perfect glossy look, feels like silk, no stickiness.",EricaEG,Huda Beauty,Lip,No
,27 Jan 2025,"I got this as a gift in exchange for a review and fell in love with it!! It’s such a natural pretty shine!! And it goes well over lip stain for me to blend out my double lip line. Really love this!! It’s not sticky, has virtually no smell or taste. It does clump in the corners of my mouth though.",erinestelle,Huda Beauty,Lip,No
Best as always,27 Jan 2025,"I tried the UBE - Faux Filler Gloss from Huda Beauty, and I have to say, the formula is surprisingly plush. It gives a smooth, cushiony feel on the lips—definitely not sticky, which I appreciate. The plumping effect is subtle but noticeable, adding a nice fullness without that intense tingling some glosses have. The shine is gorgeous, giving that high-impact, juicy look, and the color payoff is impressive for a gloss. It layers well over lipstick or looks beautiful on its own. I also like that it doesn’t dry out my lips, though I wouldn’t call it deeply hydrating either. Overall, it’s a solid gloss if you love a plump, glossy finish with a comfortable feel. I’ll definitely keep reaching for it!",Khoshnood,Huda Beauty,Lip,No
New favorite gloss,27 Jan 2025,"First of all, I love the shape of the applicator. It is perfect for application and other companies need to take note! Second, This is one of the few shiny lip products that doesn't make me feel like a teenager playing with makeup. It's also pretty darn moisturizing. I love this!",neveroutofbooks,Huda Beauty,Lip,No
